raw_value,standardized_brand
toyota,Toyota
toyota.,Toyota
toyoda,Toyota
lexus,Lexus
mercedes,Mercedes-Benz
mercedes benz,Mercedes-Benz
mercedes-benz,Mercedes-Benz
benz,Mercedes-Benz
bmw,BMW
honda,Honda
ford,Ford
hyundai,Hyundai
kia,Kia
mazda,Mazda
mitsubishi,Mitsubishi
nissan,Nissan
isuzu,Isuzu
suzuki,Suzuki
subaru,Subaru
land rover,Land Rover
range rover,Land Rover
landrover,Land Rover
rangerover,Land Rover
chevrolet,Chevrolet
chevy,Chevrolet
volkswagen,Volkswagen
vw,Volkswagen
porsche,Porsche
audi,Audi
volvo,Volvo
cadillac,Cadillac
jeep,Jeep
dodge,Dodge
rolls-royce,Rolls-Royce
rolls royce,Rolls-Royce
rollsroyce,Rolls-Royce
byd,BYD
mg,MG
geely,Geely
haval,Haval
gac,GAC
changan,Changan
jetour,Jetour
chery,Chery
xpeng,Xpeng
nio,NIO
zeekr,Zeekr
tesla,Tesla
vinfast,VinFast
avatr,AVATR
avita,AVATR
denza,Denza
li auto,Li Auto
li xiang,Li Auto
hongqi,Hongqi
great wall,Great Wall
greatwall,Great Wall
aston martin,Aston Martin
alfa romeo,Alfa Romeo
peugeot,Peugeot
lincoln,Lincoln
gmc,GMC
deepal,Deepal
arcfox,Arcfox
icar,iCar
ssangyong,SsangYong
aion,Aion
xiaomi,Xiaomi
bestune,Bestune
gtv,GTV
bentley,Bentley
dfsk,DFSK
kaiyi,Kaiyi
mini,Mini
lamborghini,Lamborghini
maserati,Maserati
ram,Ram
aeolus,Aeolus
foton,Foton
wuling,Wuling
aito,AITO
ora,ORA
infiniti,Infiniti
jaguar,Jaguar
gwm,GWM
forthing,Forthing
jmc,JMC
rivian,Rivian
hummer,Hummer
maxus,Maxus
leapmotor,Leapmotor
baic,BAIC
buick,Buick
jac,JAC
daewoo,Daewoo
aston-martin,Aston Martin
li,Li Auto
mclaren,McLaren
aiqar,iCar
changhe,Changhe
តូយ៉ូតា,Toyota
ឡិចស៊ីស,Lexus
ឡិចស៊ុស,Lexus
ប៊េន,Mercedes-Benz
មែរសឺដេស,Mercedes-Benz
ប៊ីអឹម,BMW
ហ្វត,Ford
ហ៊ីយ៉ាន់ដាយ,Hyundai
គីអា,Kia
ម៉ាសដា,Mazda
មីស៊ូប៊ីស៊ី,Mitsubishi
នីសាន់,Nissan
ប៊ីវ៉ាយឌី,BYD
អាវ៉ាតា,AVATR
ជីលី,Geely
