raw_value,standardized_province
pp,Phnom Penh
p.p,Phnom Penh
p.p.,Phnom Penh
phnom penh,Phnom Penh
phnompenh,Phnom Penh
phnom-penh,Phnom Penh
ភ្នំពេញ,Phnom Penh
siem reap,Siem Reap
siemreap,Siem Reap
siem-reap,Siem Reap
sr,Siem Reap
សៀមរាប,Siem Reap
battambang,Battambang
bat dambang,Battambang
bat tambang,Battambang
បាត់ដំបង,Battambang
kandal,Kandal
កណ្ដាល,Kandal
kampong cham,Kampong Cham
kompong cham,Kampong Cham
kampongcham,Kampong Cham
kampong speu,Kampong Speu
kompong speu,Kampong Speu
kampongspeu,Kampong Speu
takeo,Takeo
តាកែវ,Takeo
preah sihanouk,Preah Sihanouk
sihanoukville,Preah Sihanouk
sihanouk,Preah Sihanouk
kampot,Kampot
កំពត,Kampot
kep,Kep
koh kong,Koh Kong
kohkong,Koh Kong
kratie,Kratié
kratié,Kratié
mondulkiri,Mondulkiri
ratanakiri,Ratanakiri
stung treng,Stung Treng
svay rieng,Svay Rieng
prey veng,Prey Veng
pursat,Pursat
kampong thom,Kampong Thom
kompong thom,Kampong Thom
kampong chhnang,Kampong Chhnang
kompong chhnang,Kampong Chhnang
oddar meanchey,Oddar Meanchey
banteay meanchey,Banteay Meanchey
pailin,Pailin
preah vihear,Preah Vihear
tbong khmum,Tboung Khmum
tboung khmum,Tboung Khmum
tboungkhmum,Tboung Khmum
tbongkhmum,Tboung Khmum
ត្បូងឃ្មុំ,Tboung Khmum
